CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2021
25580;Valentigney;5.1
26037;Beaumont-lès-Valence;11.5
26057;Bourg-de-Péage;8.8
26058;Bourg-lès-Valence;2.5
26063;Buis-les-Baronnies;9.7
26064;Chabeuil;11.1
26108;Crest;10.1
26113;Die;6.9
26114;Dieulefit;11.1
26116;Donzère;6.1
26124;Étoile-sur-Rhône;7.6
26165;Livron-sur-Drôme;6.5
26198;Montélimar;8.6
26220;Nyons;13.8
26235;Pierrelatte;5.2
26252;Portes-lès-Valence;7.4
26281;Romans-sur-Isère;9.5
26301;Saint-Donat-sur-l'Herbasse;4.8
26307;Saint-Jean-en-Royans;14.3
26313;Saint-Marcel-lès-Valence;11.2
26324;Saint-Paul-Trois-Châteaux;8
26325;Saint-Rambert-d'Albon;7.6
26333;Saint-Vallier;4
26362;Valence;10.9
27016;Les Andelys;6.1
27051;Beaumont-le-Roger;5.2
27056;Bernay;5.6
27065;Beuzeville;6.7
27103;Bourg-Achard;7
27112;Breteuil;3.7
27116;Brionne;6.9
27165;Conches-en-Ouche;3.3
27198;Mesnils-sur-Iton;1.2
27226;Étrépagny;5
27229;Évreux;6.2
27230;Ézy-sur-Eure;4.9
27246;Fleury-sur-Andelle;9.1
27275;Gaillon;4.8
27284;Gisors;4.1
27375;Louviers;6.1
27428;Le Neubourg;5.6
27448;Pacy-sur-Eure;2.9
27467;Pont-Audemer;5.9
27469;Pont-de-l'Arche;8.6
27493;Romilly-sur-Andelle;8.7
27507;Saint-André-de-l'Eure;4.1
27562;Saint-Marcel;3.8
27679;Verneuil d'Avre et d'Iton;7.5
27681;Vernon;5.5
27701;Val-de-Reuil;9
28015;Auneau-Bleury-Saint-Symphorien;4.8
28051;Bonneval;3.4
28061;Brou;5.4
28085;Chartres;7.6
28088;Châteaudun;5.5
28089;Châteauneuf-en-Thymerais;4.9
28103;Cloyes-les-Trois-Rivières;5.4
28116;Courville-sur-Eure;4.7
28134;Dreux;5.4
28140;Épernon;5.6
28196;Illiers-Combray;2.2
28199;Janville;2.4
28214;La Loupe;3.3
28218;Lucé;7.6
28220;Luisant;5.4
28227;Maintenon;5.7
28229;Mainvilliers;8.2
28279;Nogent-le-Roi;6.9
28280;Nogent-le-Rotrou;7.7
28348;Saint-Lubin-des-Joncherets;2.6
28373;Senonches;6.9
28404;Vernouillet;2.8
28422;Les Villages Vovéens;6.4
29004;Bannalec;7.5
29019;Brest;12.4
29020;Briec;7.2
29024;Carhaix-Plouguer;6.2
29026;Châteaulin;7.6
29027;Châteauneuf-du-Faou;8.8
29039;Concarneau;10.4
29042;Crozon;9.3
29046;Douarnenez;7.1
29051;Ergué-Gabéric;13
29053;Le Faou;10.7
29058;Fouesnant;11.9
29061;Gouesnou;13.8
29069;Guilers;8.7
29075;Guipavas;9.2
29081;Huelgoat;4
29082;Île-de-Batz;22.1
29083;Île-de-Sein;38.5
29084;Île-Molène;0
29103;Landerneau;9.7
29105;Landivisiau;7.2
29124;Lesneven;9.9
29147;Mellac;6.1
29150;Moëlan-sur-Mer;11.5
29151;Morlaix;7.4
29155;Ouessant;36
29158;Penmarch;9.3
29160;Plabennec;8.7
29162;Pleyben;8.8
29174;Plonéour-Lanvern;8.1
29178;Ploudalmézeau;10.5
29185;Plouescat;6.9
29189;Plougastel-Daoulas;10.6
29195;Plouguerneau;7.5
29197;Plouhinec;11.9
29199;Plouigneau;4.9
29212;Plouzané;8.5
29217;Pont-Aven;10.3
29220;Pont-l'Abbé;13.7
29232;Quimper;11
29233;Quimperlé;10.6
29235;Le Relecq-Kerhuon;10.2
29241;Rosporden;7.5
29259;Saint-Pol-de-Léon;10.5
29260;Saint-Renan;11.3
29274;Scaër;8.9
