CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2020
24354;La Roche-Chalais;8.7
24372;Saint-Astier;5.4
24396;Saint-Cyprien;11.4
24520;Sarlat-la-Canéda;8.8
24547;Terrasson-Lavilledieu;5.1
24551;Thiviers;7.9
24557;Trélissac;8.9
24571;Vergt;9.8
25031;Audincourt;7
25047;Baume-les-Dames;9.6
25056;Besançon;13
25212;École-Valentin;9.7
25315;L'Isle-sur-le-Doubs;7.9
25334;Levier;8.7
25356;Maîche;5.9
25388;Montbéliard;9.7
25411;Morteau;6.1
25434;Ornans;11.1
25462;Pontarlier;7.1
25463;Pont-de-Roide-Vermondans;6
25527;Saint-Vit;9.4
25532;Saône;10.2
25578;Valdahon;9.4
25580;Valentigney;5.7
26037;Beaumont-lès-Valence;10.8
26057;Bourg-de-Péage;8.2
26058;Bourg-lès-Valence;3
26063;Buis-les-Baronnies;13
26064;Chabeuil;10.5
26108;Crest;10.6
26113;Die;7.9
26114;Dieulefit;9.9
26116;Donzère;7.7
26124;Étoile-sur-Rhône;8.9
26165;Livron-sur-Drôme;7
26198;Montélimar;9.2
26220;Nyons;11.5
26235;Pierrelatte;5.2
26252;Portes-lès-Valence;7.4
26281;Romans-sur-Isère;9.3
26301;Saint-Donat-sur-l'Herbasse;4.1
26307;Saint-Jean-en-Royans;13.5
26313;Saint-Marcel-lès-Valence;11.3
26324;Saint-Paul-Trois-Châteaux;8
26325;Saint-Rambert-d'Albon;7.9
26333;Saint-Vallier;5
26362;Valence;11.6
27016;Les Andelys;6.8
27051;Beaumont-le-Roger;5.2
27056;Bernay;6
27065;Beuzeville;6.8
27103;Bourg-Achard;7
27112;Breteuil;3.6
27116;Brionne;6.9
27165;Conches-en-Ouche;3.8
27198;Mesnils-sur-Iton;2.4
27226;Étrépagny;5
27229;Évreux;7.2
27230;Ézy-sur-Eure;5.5
27246;Fleury-sur-Andelle;9.1
27275;Gaillon;5.2
27284;Gisors;4.4
27375;Louviers;5.8
27428;Le Neubourg;5.2
27448;Pacy-sur-Eure;2.9
27467;Pont-Audemer;6.2
27469;Pont-de-l'Arche;8.6
27493;Romilly-sur-Andelle;8.8
27507;Saint-André-de-l'Eure;5.2
27562;Saint-Marcel;4.8
27679;Verneuil d'Avre et d'Iton;7.8
27681;Vernon;6.3
27701;Val-de-Reuil;8.9
28015;Auneau-Bleury-Saint-Symphorien;5.2
28051;Bonneval;3.3
28061;Brou;6
28085;Chartres;8.4
28088;Châteaudun;6
28089;Châteauneuf-en-Thymerais;4.1
28103;Cloyes-les-Trois-Rivières;5.4
28116;Courville-sur-Eure;5.5
28134;Dreux;4.9
28140;Épernon;6.5
28196;Illiers-Combray;2.2
28199;Janville;3.3
28214;La Loupe;3.3
28218;Lucé;7.6
28220;Luisant;6.1
28227;Maintenon;4.5
28229;Mainvilliers;8.2
28279;Nogent-le-Roi;7.5
28280;Nogent-le-Rotrou;7.6
28348;Saint-Lubin-des-Joncherets;2.1
28373;Senonches;6.9
28404;Vernouillet;3.3
28422;Les Villages Vovéens;5.5
29004;Bannalec;7.5
29019;Brest;13
29020;Briec;7.2
29024;Carhaix-Plouguer;6.9
29026;Châteaulin;9.1
29027;Châteauneuf-du-Faou;9.7
29039;Concarneau;10.5
29042;Crozon;9.3
29046;Douarnenez;7.2
