code_tvs,annee,nb_medecins
02163,2008,7
02163,2009,7
02163,2010,7
02163,2011,7
02163,2012,7
02163,2013,6
02163,2014,6
02163,2015,5
02163,2016,5
02163,2017,4
02163,2018,4
02163,2019,4
02168,2004,32
02168,2005,33
02168,2006,32
02168,2007,32
02168,2008,31
02168,2009,29
02168,2010,29
02168,2011,26
02168,2012,27
02168,2013,25
02168,2014,27
02168,2015,26
02168,2016,26
02168,2017,27
02168,2018,26
02168,2019,28
02173,2004,27
02173,2005,25
02173,2006,24
02173,2007,25
02173,2008,22
02173,2009,22
02173,2010,22
02173,2011,22
02173,2012,23
02173,2013,22
02173,2014,22
02173,2015,22
02173,2016,19
02173,2017,20
02173,2018,19
02173,2019,19
02305,2004,6
02305,2005,6
02305,2006,6
02305,2007,6
02305,2008,6
02305,2009,6
02305,2010,6
02305,2011,6
02305,2012,6
02305,2013,6
02305,2014,7
02305,2015,6
02305,2016,6
02305,2017,6
02305,2018,6
02305,2019,5
02340,2004,14
02340,2005,14
02340,2006,14
02340,2007,14
02340,2008,14
02340,2009,14
02340,2010,14
02340,2011,14
02340,2012,13
02340,2013,12
02340,2014,12
02340,2015,12
02340,2016,12
02340,2017,11
02340,2018,11
02340,2019,10
02361,2004,13
02361,2005,14
02361,2006,12
02361,2007,12
02361,2008,12
02361,2009,12
02361,2010,12
02361,2011,8
02361,2012,8
02361,2013,10
02361,2014,10
02361,2015,8
02361,2016,7
02361,2017,7
02361,2018,7
02361,2019,8
02381,2004,30
02381,2005,30
02381,2006,29
02381,2007,29
02381,2008,29
02381,2009,29
02381,2010,28
02381,2011,27
02381,2012,28
02381,2013,26
02381,2014,27
02381,2015,29
02381,2016,27
02381,2017,27
02381,2018,28
02381,2019,28
02408,2004,49
02408,2005,50
02408,2006,50
02408,2007,50
02408,2008,50
02408,2009,50
02408,2010,50
02408,2011,49
02408,2012,46
02408,2013,42
02408,2014,41
02408,2015,40
02408,2016,39
02408,2017,41
02408,2018,39
02408,2019,37
02468,2004,6
02468,2005,6
02468,2006,6
02468,2007,6
02468,2008,6
02468,2009,6
02468,2010,6
02468,2011,6
02468,2012,6
02468,2013,6
02468,2014,6
02468,2015,6
02468,2016,6
02468,2017,5
02468,2018,5
02468,2019,4
02558,2004,9
02558,2005,8
02558,2006,9
02558,2007,7
02558,2008,8
02558,2009,7
02558,2010,7
02558,2011,8
02558,2012,8
02558,2013,6
02558,2014,6
02558,2015,8
02558,2016,8
02558,2017,8
02558,2018,9
02558,2019,10
02691,2004,81
02691,2005,84
02691,2006,87
02691,2007,86
02691,2008,86
02691,2009,85
02691,2010,84
02691,2011,77
02691,2012,78
02691,2013,79
02691,2014,83
02691,2015,81
02691,2016,78
02691,2017,79
02691,2018,76
02691,2019,73
02722,2004,70
02722,2005,69
02722,2006,75
02722,2007,71
02722,2008,72
02722,2009,72
02722,2010,70
02722,2011,71
02722,2012,69
02722,2013,67
02722,2014,67
02722,2015,65
02722,2016,63
02722,2017,59
02722,2018,54
02722,2019,53
02738,2004,31
02738,2005,31
02738,2006,30
02738,2007,31
02738,2008,29
02738,2009,29
02738,2010,29
02738,2011,29
02738,2012,28
02738,2013,26
02738,2014,26
02738,2015,24
02738,2016,24
02738,2017,26
02738,2018,23
02738,2019,23
02789,2004,6
02789,2005,6
02789,2006,5
02789,2007,5
02789,2008,5
02789,2009,6
02789,2010,6
02789,2011,6
02789,2012,6
02789,2013,6
02789,2014,6
02789,2015,6
02789,2016,6
02789,2017,6
02789,2018,5
02789,2019,5
02795,2004,5
02795,2005,5
02795,2006,6
02795,2007,6
02795,2008,6
02795,2009,6
02795,2010,5
02795,2011,5
02795,2012,5
02795,2013,5
02795,2014,5
02795,2015,5
02795,2016,5
02795,2017,5
02795,2018,4
02795,2019,5
02810,2004,21
02810,2005,22
02810,2006,22
02810,2007,21
02810,2008,20
02810,2009,20
02810,2010,20
02810,2011,20
